Player,,Loan: start/end,Age,Nationality,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Arthur Melo,Inside,End,26,Brazil,Central Midfield,"15,000,000",Liverpool,"Premier League, England",Top,England,First Tier,Juventus,"Serie A, Italy",Top,Italy,First Tier,"Jun 30, 2023",0,305
Arthur Okonkwo,In,End,22,England,Goalkeeper,"2,000,000",Wrexham,"League Two, England",Europe,England,Fourth Tier,Arsenal,"Premier League, England",Top,England,First Tier,"May 31, 2024",0,308
Arthur Okonkwo,In,End,21,England,Goalkeeper,"2,000,000",Sturm Graz,"Bundesliga, Austria",Europe,Austria,First Tier,Arsenal,"Premier League, England",Top,England,First Tier,"Jun 30, 2023",0,307
Arthur Okonkwo,Out,Start,21,England,Goalkeeper,"2,000,000",Arsenal,"Premier League, England",Top,England,First Tier,Wrexham,"League Two, England",Europe,England,Fourth Tier,,0,309
Arthur Zagré,In,End,21,France,Left-Back,"700,000",Excelsior,"Eredivisie, Netherlands",Europe,Netherlands,First Tier,Monaco,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,310
Arthur Zagré,Out,No,21,France,Left-Back,"700,000",Monaco,"Ligue 1, France",Top,France,First Tier,Excelsior,"Eredivisie, Netherlands",Europe,Netherlands,First Tier,,0,311
Arvin Appiah,In,End,22,England,Right Winger,"500,000",Málaga CF,"Primera Federación - Grupo II, Spain",Europe,Spain,Third Tier,UD Almería,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,312
Arvin Appiah,Out,Start,22,England,Right Winger,"500,000",UD Almería,"LaLiga, Spain",Top,Spain,First Tier,Rotherham,"Championship, England",Europe,England,Second Tier,,0,313
Ashley Barnes,Out,No,33,England,Centre-Forward,"1,000,000",Burnley,"Premier League, England",Top,England,First Tier,Norwich,"Championship, England",Europe,England,Second Tier,,0,314
Ashley Phillips,In,No,18,England,Centre-Back,"2,000,000",Blackburn,"Championship, England",Europe,France,Second Tier,Tottenham,"Premier League, England",Top,England,First Tier,,2300000,315
Ashley Young,Inside,No,38,England,Left-Back,"600,000",Aston Villa,"Premier League, England",Top,England,First Tier,Everton,"Premier League, England",Top,England,First Tier,,0,316
